Distance (m),Elevation (m),Latitude,Longitude
65196.55224553564,28.50277900695801,-26.9570619058682,152.9877068422819
65643.10397324478,22.94881820678711,-26.95315913917603,152.98899421227316
66089.65570095394,19.27654647827148,-26.94926926446015,152.9903298492428
66536.20742866308,16.4940128326416,-26.94537937716683,152.9916653940121
66982.75915637224,14.77510738372803,-26.94139126679307,152.99250237578644
67429.31088408138,15.42385387420654,-26.93736196257063,152.99313024633977
67875.86261179054,16.5792293548584,-26.9333075340478,152.99342371288446
68322.41433949968,14.04170322418213,-26.92924138279256,152.99356114564387
68768.96606720882,21.75294494628906,-26.92520837945423,152.9940657274757
69215.51779491798,21.60153198242188,-26.92120020248135,152.99484528644177
69662.06952262712,20.92490005493164,-26.9171920212269,152.99562479002498
70108.62125033628,18.4888858795166,-26.91318383569195,152.9964042382387
70555.17297804542,17.55364799499512,-26.90925095994537,152.99753209219875
71001.72470575456,19.00399971008301,-26.90536936463205,152.9988971754575
71448.27643346372,17.75910186767578,-26.9014877561953,153.0002621648623
71894.82816117286,24.88712120056152,-26.89760613463822,153.00162706043488
72341.37988888202,19.04805946350098,-26.89372449996391,153.00299186219718
72787.93161659116,17.7616081237793,-26.88984285217547,153.00435657017113
73234.48334430032,16.58048057556152,-26.88596119127603,153.00572118437844
73681.03507200946,16.89251518249512,-26.88203309457909,153.00689597720486
74127.5867997186,13.08588314056396,-26.8780737564331,153.00794304601754
74574.13852742776,13.71570301055908,-26.87415663004058,153.0091407874463
75020.6902551369,12.08255577087402,-26.87037404929046,153.01081888523527
75467.24198284606,11.92851638793945,-26.86662627316674,153.01257027412635
75913.7937105552,11.53245735168457,-26.86327056002256,153.01514799616507
76360.34543826434,11.19940662384033,-26.8600060905556,153.01784897543644
76806.8971659735,11.96689510345459,-26.85712508315103,153.02106825936585
77253.44889368264,13.8147439956665,-26.85424400284779,153.02428737935372
77700.0006213918,17.84866714477539,-26.85081259837797,153.02671739928223
78146.55234910094,17.36417579650879,-26.84733024065516,153.02907427597768
78593.1040768101,16.87490081787109,-26.843501134944,153.03049676977798
79039.65580451924,16.07858467102051,-26.83955473365101,153.0316031481068
79486.20753222838,17.17724990844727,-26.83560100985869,153.03267545603467
79932.75925993753,22.32766914367676,-26.83163839190565,153.03370638862987
80379.31098764668,20.39599800109863,-26.82767576648178,153.03473724909634
80825.86271535583,31.65909385681152,-26.82371313358886,153.03576803745113
81272.41444306498,24.02430534362793,-26.81975049322874,153.03679875371154
81718.96617077412,21.30771255493164,-26.81578784540318,153.03782939789494
82165.51789848327,17.57361030578613,-26.811825190114,153.03885997001862
82612.06962619242,14.18170166015625,-26.807862527363,153.03989047009986
83058.62135390157,14.77170085906982,-26.80393623438932,153.04107345682132
83505.17308161072,18.78643608093262,-26.80004285169464,153.04239442286246
83951.72480931987,31.02875518798828,-26.79614945674421,153.04371529822163
84398.27653702901,28.95594596862793,-26.79220015906943,153.0447134126639
84844.82826473816,29.35830116271973,-26.78814836834611,153.04511978648156
85291.37999244731,26.28014945983887,-26.78411539153906,153.04479632544667
85737.93172015646,20.50233459472656,-26.78009128411054,153.0441287617822
86184.48344786561,18.94836807250977,-26.77606717355365,153.04346124544236
86631.03517557475,15.55409240722656,-26.77204305986916,153.0427937764157
87077.58690328391,14.86441421508789,-26.77308938058202,153.04307710799935
87524.13863099305,12.11232852935791,-26.77269952338511,153.04758993621942
87970.6903587022,16.8554515838623,-26.77343474371427,153.0520713616586
88417.24208641135,21.67922782897949,-26.77491665459694,153.05620710645883
88863.7938141205,33.38601303100586,-26.77722085393675,153.0599622572705
89310.34554182965,14.2491512298584,-26.77888227952322,153.06401171859977
89756.8972695388,11.31507301330566,-26.77958534165535,153.0684998572808
90203.44899724794,9.169201850891113,-26.78028826237248,153.07298805154574
90650.00072495709,11.41157531738281,-26.78084652672912,153.07749323592725
91096.55245266623,21.9754581451416,-26.78172585376617,153.0819072404554
91543.10418037539,39.58633804321289,-26.7829399751425,153.08625605030716
91989.65590808453,35.87645721435547,-26.78439587393061,153.09051110346286
92436.20763579369,69.10599517822266,-26.78585164559325,153.09476626577384
92882.75936350283,59.77939605712891,-26.78566440755912,153.0989907237447
93329.31109121197,51.56375122070312,-26.78428145414174,153.10318708774264
93775.86281892113,45.37454223632812,-26.78562679513033,153.10747435216
94222.41454663027,49.87247085571289,-26.78627977428495,153.1119573350427
94668.96627433943,54.31242370605469,-26.78588550066263,153.11603650788993
95115.51800204857,29.36855697631836,-26.78886638763212,153.11912026076584
95562.06972975771,32.40969085693359,-26.79215249623775,153.1217893948832
96008.62145746687,29.72728538513184,-26.79359264520251,153.1256926778882
96455.17318517601,23.71126174926758,-26.79419482427597,153.13019976689282
96901.72491288517,28.3099193572998,-26.79606501821006,153.13401300720352
97348.27664059431,35.76525497436523,-26.79809555124134,153.13780924051093
97794.82836830347,27.42299842834473,-26.79929386432246,153.14204501024255
98241.38009601261,32.52041244506836,-26.7990441362534,153.14098627940507
98687.93182372175,31.91370391845703,-26.79798147779073,153.13658704154784
99134.48355143091,23.18270874023438,-26.79529793209751,153.1332722194502
99581.03527914005,23.85147094726562,-26.79426120476766,153.12902285159566
100027.58700684921,32.84718322753906,-26.79367074504218,153.12451381415474
100474.13873455835,34.82738876342773,-26.79119541636038,153.12098428134937
100920.69046226749,38.05595397949219,-26.78817727358451,153.11793339966493
101367.24218997665,56.69685363769531,-26.78572556820763,153.11496485838336
101813.79391768579,44.17893218994141,-26.78603193576178,153.11055949491276
102260.34564539495,43.16423034667969,-26.78544207673028,153.10605257795316
102706.89737310409,59.71667098999023,-26.78466774477439,153.10178378093406
103153.44910081325,59.57231903076172,-26.78594983597898,153.09749512390113
103600.00082852239,60.77355575561523,-26.78539846612621,153.0932745812952
104046.55255623153,42.5633659362793,-26.78391761156371,153.08903031121156
104493.10428394069,34.64529037475586,-26.78243663052734,153.0847861518772
104939.65601164983,16.6505184173584,-26.78183458069288,153.0802950187947
105386.20773935899,12.68869113922119,-26.78116908416353,153.07580229984865
105832.75946706813,9.771872520446777,-26.78040027320698,153.07132764753874
106279.31119477727,11.79336357116699,-26.7796313216847,153.06685305584165
106725.86292248643,18.6290225982666,-26.77863531845298,153.0624733804883
107172.41465019557,26.89792442321777,-26.77659929613975,153.0585285218217
107618.96637790473,11.66658878326416,-26.77452868690033,153.0546067001709
108065.51810561387,11.96162700653076,-26.77297848343024,153.0505139226982
108512.06983332302,13.2978343963623,-26.77287463733347,153.04597201426554
108958.62156103217,14.74867820739746,-26.77313229624123,153.0414345208144
109405.17328874131,34.43082809448242,-26.77441839709689,153.03737553219412
109851.72501645047,34.62272644042969,-26.77641752619068,153.0334548738399
110298.27674415961,37.16972732543945,-26.77792323722572,153.02922187109618
110744.82847186876,28.24348640441895,-26.77901543715284,153.02487652765274
111191.3801995779,17.05396842956543,-26.77940716612365,153.02034099683806
111637.93192728705,22.24143600463867,-26.77979875067861,153.01580543472937
112084.4836549962,31.08688545227051,-26.78229180618447,153.01242365222083
112531.03538270535,37.5463981628418,-26.78611936001179,153.01095454630035
112977.5871104145,37.29474258422852,-26.78953952391828,153.00848724287493
113424.13883812365,33.13198471069336,-26.79263178221326,153.00566164256577
113870.6905658328,46.47464752197266,-26.79474741564283,153.0017691484676
114317.24229354195,36.8539924621582,-26.7956621276222,152.99734812760994
114763.79402125109,36.11865615844727,-26.79673130568314,152.99297067858936
115210.34574896024,26,-26.79829510702458,152.98876343005884
115656.89747666939,32.38883590698242,-26.80066766502628,152.98509641682858
116103.44920437854,34.48162841796875,-26.80322812555341,152.98155483222763
116550.00093208769,45.65110778808594,-26.80578849796816,152.97801308770954
116996.55265979684,38.68973922729492,-26.80763348280136,152.97397266075836
117443.10438750598,38.39421463012695,-26.8093373842241,152.9698338615059
117889.65611521513,37.03992462158203,-26.80909880128613,152.9656215407607
118336.20784292428,42.77362060546875,-26.80642515844245,152.96218636427113
118782.75957063343,46.84745025634766,-26.80441104172952,152.95840902268094
119229.31129834258,54.34267425537109,-26.80196540249595,152.95478823452322
119675.86302605172,79.67475891113281,-26.80013180181808,152.95074945165152
120122.41475376087,104.1424407958984,-26.79879631225466,152.94644483819866
120568.96648147002,147.9846038818359,-26.79727473854694,152.94228862853004
121015.51820917916,196.7691497802734,-26.79442600628291,152.93903525809594
121462.06993688832,228.6007843017578,-26.79444314732816,152.93457964147228
121908.62166459746,275.6048583984375,-26.79644089454959,152.93084031558715
